Date Released,Running Time,Production Company,Distributed By,Genre,Medium,Year,Film,Director,Writer,Producer,Executive Producer
8/27/1969,101,American Zoetrope,Warner Bros. - Seven Arts,Drama,Live Action,1969,The Rain People,No,No,Yes,No
3/11/1971,95,American Zoetrope,Warner Bros.,Science Fiction,Live Action,1971,THX 1138,Yes,Yes,No,No
8/11/1973,112,Lucasfilm Ltd.,Universal Pictures,Comedy,Live Action,1973,American Graffiti,Yes,Yes,No,No
5/25/1977,121,Lucasfilm Ltd.,20th Century Fox,Science Fiction,Live Action,1977,Star Wars,Yes,Yes,No,Yes
8/3/1979,110,Lucasfilm Ltd.,Universal Pictures,Comedy,Live Action,1979,More American Graffiti,No,No,No,Yes
10/10/1980,180,Kurosawa Production,20th Century Fox,Drama,Live Action,1980,Kagemusha,No,No,No,Yes
5/21/1980,124,Lucasfilm Ltd.,20th Century Fox,Science Fiction,Live Action,1980,The Empire Strikes Back,No,Yes,No,Yes
6/12/1981,115,Lucasfilm Ltd.,Paramount Pictures,Adventure,Live Action,1981,Raiders of the Lost Ark,No,Yes,No,Yes
8/28/1981,113,The Ladd Company,Warner Bros.,Thriller,Live Action,1981,Body Heart,No,No,No,Yes
5/25/1983,132,Lucasfilm Ltd.,20th Century Fox,Science Fiction,Live Action,1983,Return of the Jedi,No,Yes,No,Yes
8/5/1983,75,Lucasfilm Ltd.,Warner Bros.,Comedy,Animated,1983,Twice Upon a Time,No,No,No,Yes
5/23/1984,118,Lucasfilm Ltd.,Paramount Pictures,Adventure,Live Action,1984,Indiana Jones and the Temple of Doom,No,Yes,No,Yes
10/4/1985,120,"American Zoetrope, Lucasfilm Ltd., M Company, Tristone Entertainment Inc.",Warner Bros.,Drama,Live Action,1985,Mishima: A Life in Four Chapters,No,No,No,Yes
6/27/1986,101,"Henson Associates, Inc., Lucasfilm Ltd.",TriStar Pictures,Fantasy,Live Action,1986,Labyrinth,No,No,No,Yes
8/1/1986,111,Lucasfilm Ltd.,Universal Pictures,Comedy,Live Action,1986,Howard the Duck,No,No,No,Yes
5/20/1988,126,"Lucasfilm Ltd., Imagine Entertainment",Metro Goldwyn Mayer,Fantasy,Live Action,1988,Willow,No,Yes,No,Yes
8/12/1988,110,"Lucasfilm Ltd., Zoetrope Studios",Paramount Pictures,Drama,Live Action,1988,Tucker: The Man and His Dream,No,No,No,Yes
11/18/1988,69,"Amblin Entertainment, Sullivan Bluth Studios Ireland Ltd.",Universal Pictures,Adventure,Animated,1988,The Land Before Time,No,No,No,Yes
5/24/1989,128,Lucasfilm Ltd.,Paramount Pictures,Adventure,Live Action,1989,Indiana Jones and the Last Crusade,No,Yes,No,Yes
10/21/1994,112,Lucasfilm Ltd.,Universal Pictures,Comedy,Live Action,1994,Radioland Murders,No,Yes,Yes,No
5/19/1999,133,Lucasfilm Ltd.,20th Century Fox,Science Fiction,Live Action,1999,Star Wars: Episode I – The Phantom Menace,Yes,Yes,No,Yes
5/16/2002,142,Lucasfilm Ltd.,20th Century Fox,Science Fiction,Live Action,2002,Star Wars: Episode II – Attack of the Clones,Yes,Yes,No,Yes
5/19/2005,140,Lucasfilm Ltd.,20th Century Fox,Science Fiction,Live Action,2005,Star Wars: Episode III – Revenge of the Sith,Yes,Yes,No,Yes
5/22/2008,119,Lucasfilm Ltd.,Paramount Pictures,Adventure,Live Action,2008,Indiana Jones and the Kingdom of the Crystal Skull,No,Yes,No,Yes
8/15/2008,98,"Lucasfilm Ltd., Lucasfilm Animation",Warner Bros.,Science Fiction,Animated,2008,Star Wars: The Clone Wars,No,No,No,Yes
1/20/2012,121,Lucasfilm Ltd.,20th Century Fox,Adventure,Live Action,2012,Red Tails,No,No,No,Yes
1/23/2015,99,"Lucasfilm Ltd., Lucasfilm Animation, Industrial Light & Magic",Walt Disney Studios Motion Pictures,Fantasy,Animated,2015,Strange Magic,No,Yes,No,Yes
